Número de Línea,Texto,Clasificación,Polaridad,Librería
151,El sistema funciona correctamente en Chrome y Firefox.,neutro,0.0,vader
152,"Un servicio de lujo, el despliegue fue quirúrgico.",positivo,0.9637,pysentimiento
153,El módulo de contabilidad no cuadra con nuestros reportes reales.,negativo,-0.9414,pysentimiento
154,El costo de implementación se mantuvo dentro del presupuesto.,neutro,0.0,pysentimiento
155,La herramienta es útil pero la curva de aprendizaje es empinada.,neutro,0.0,pysentimiento
156,No pudieron resolver el problema de la integración con el banco.,negativo,-0.9418,pysentimiento
157,"Súper profesionales, el ERP quedó adaptado a nuestra medida.",positivo,0.591,pysentimiento
158,El proceso de instalación fue sencillo y sin errores.,positivo,0.8434,pysentimiento
159,Me parece que el sistema es demasiado robusto para lo que necesitamos.,neutro,0.0,vader
160,"El soporte es mediocre, solo responden lo básico.",negativo,-0.9728,pysentimiento
161,¡Por fin un ERP que no es una pesadilla de usar!,positivo,0.6063,pysentimiento
162,Se configuraron los permisos de usuario según la jerarquía.,neutro,0.0,pysentimiento
163,El despliegue fue improvisado y se notó la falta de experiencia.,negativo,-0.9038,pysentimiento
164,"La calidad del servicio es excepcional, muy recomendados.",neutro,0.0,vader
165,"Odoo es bueno, pero la configuración de esta empresa fue pobre.",negativo,-0.9126,pysentimiento
166,Tuvimos que hacer ajustes manuales porque el consultor se equivocó.,negativo,-0.8426,pysentimiento
167,El sistema está funcionando en modo producción desde ayer.,neutro,0.0,pysentimiento
168,Muy satisfechos con la rapidez de la implementación.,positivo,0.9411,pysentimiento
169,El módulo de ventas es confuso y el personal se queja.,negativo,-0.9552,pysentimiento
170,El servicio fue adecuado para el precio pagado.,neutro,0.0,vader
171,El equipo técnico demostró un dominio total de Odoo.,negativo,-0.5377,pysentimiento
172,Tardaron semanas en configurar un simple reporte de ventas.,neutro,0.0,vader
173,"La implementación fue estándar, no hubo personalizaciones.",negativo,-0.7406,pysentimiento
174,El ROI ha sido impresionante desde el primer mes.,positivo,0.34,vader
175,El sistema es lento cuando hay más de 10 usuarios conectados.,negativo,-0.9426,pysentimiento
176,La comunicación fue fluida a través de Slack.,positivo,0.4972,pysentimiento
177,"No cumplieron con los plazos de entrega, un desastre.",negativo,-0.296,vader
178,"La herramienta es potente, aunque requiere servidor propio.",neutro,0.0,vader
179,Me encanta la flexibilidad que nos dio la configuración final.,positivo,0.9638,pysentimiento
180,El consultor fue distante y no mostró interés en el negocio.,negativo,-0.8404,pysentimiento
181,Se instaló el módulo de CRM y el de Inventarios.,neutro,0.0,pysentimiento
182,"El servicio fue impecable, desde la preventa hasta la entrega.",neutro,0.0,vader
183,La migración de datos dejó muchos campos vacíos.,negativo,-0.9392,pysentimiento
184,"El ERP es funcional, cumple con los requerimientos.",neutro,0.0,vader
185,"Súper mala experiencia, no respondieron mis correos por días.",negativo,-0.971,pysentimiento
186,La capacitación fue muy dinámica y útil para el equipo.,positivo,0.9706,pysentimiento
187,El sistema es estable pero la interfaz se siente anticuada.,neutro,0.0,vader
188,Logramos reducir el tiempo de facturación a la mitad. ¡Genial!,positivo,0.956,pysentimiento
189,El despliegue tuvo varios errores críticos al inicio.,negativo,-0.6425,pysentimiento
190,Recibimos el manual de usuario en formato PDF.,neutro,0.0,vader
191,"Un trabajo impecable, el sistema vuela. 🚀",neutro,0.0,vader
192,No saben configurar la localización fiscal de nuestro país.,negativo,-0.9261,pysentimiento
193,"El proceso fue normal, sin grandes hitos ni grandes fallos.",negativo,-0.5574,vader
194,El servicio de consultoría fue de primer nivel.,positivo,0.9579,pysentimiento
195,El módulo de compras es redundante para nuestro proceso.,positivo,0.7341,pysentimiento
196,Me siento muy tranquilo ahora que todo está automatizado.,positivo,0.904,pysentimiento
197,El ERP se cae constantemente durante el cierre de mes.,neutro,0.0,vader
198,El tiempo de respuesta del equipo técnico fue aceptable.,positivo,0.5563,pysentimiento
199,La mejor decisión que tomamos fue implementar Odoo con ellos.,positivo,0.9216,pysentimiento
200,La parametrización fue superficial y tuvimos que rehacerla.,negativo,-0.9353,pysentimiento
201,El sistema ya está integrado con nuestra tienda de Shopify.,neutro,0.0,pysentimiento
202,No recomiendo este servicio por la falta de puntualidad.,negativo,-0.296,vader
203,El despliegue fue satisfactorio y el equipo fue cordial.,neutro,0.0,vader
204,"La implementación de Odoo fue correcta, sin lujos pero eficiente.",positivo,0.9269,pysentimiento
205,¡Qué desastre! El sistema de inventarios no coincide con la realidad. 😡,negativo,-0.978,pysentimiento
206,El equipo de consultoría demostró un dominio técnico impresionante.,positivo,0.9381,pysentimiento
207,El software se instaló en el tiempo previsto.,neutro,0.0,pysentimiento
208,"Me encanta la nueva gestión de proyectos, ahora todo es más visual.",positivo,0.9683,pysentimiento
209,"Sinceramente, no sé si valió la pena la inversión, es muy complejo.",negativo,-0.918,pysentimiento
210,"El soporte técnico es aceptable, aunque no son los más rápidos.",positivo,0.556,pysentimiento
211,La migración de la base de datos fue un éxito rotundo. ✅,positivo,0.7071,pysentimiento
212,No pudieron configurar la factura electrónica y estamos bloqueados.,negativo,-0.9394,pysentimiento
213,El ERP cumple con las funciones básicas que solicitamos.,neutro,0.0,pysentimiento
214,"Increíble servicio, transformaron nuestra empresa en un mes.",positivo,0.872,pysentimiento
215,El consultor parecía estar improvisando en cada reunión.,negativo,-0.5623,pysentimiento
216,"La interfaz de Odoo es moderna, pero la configuración fue pobre.",negativo,-0.6121,pysentimiento
217,Recibimos la capacitación el martes pasado por Zoom.,neutro,0.0,pysentimiento
218,"El flujo de ventas es ahora mucho más ágil, ¡estoy feliz!",positivo,0.9491,pysentimiento
219,El sistema es inestable y se cae los lunes por la mañana.,negativo,-0.9641,pysentimiento
220,"Un servicio estándar, nada que destacar ni que criticar.",positivo,0.8613,pysentimiento
221,La integración con el e-commerce fue impecable. 🚀,positivo,0.7567,pysentimiento
222,Me vendieron una solución personalizada y me dieron una estándar.,neutro,0.0,pysentimiento
223,El costo mensual del soporte es razonable.,neutro,0.0,vader
224,El módulo de RRHH es intuitivo y muy fácil de parametrizar.,positivo,0.878,pysentimiento
225,"Tuvimos problemas con los permisos de usuario, pero se resolvieron.",neutro,0.0,vader
226,La implementación fue un camino lleno de baches y errores.,negativo,-0.9044,pysentimiento
227,"Odoo es una herramienta potente, el servicio fue adecuado.",neutro,0.0,vader
228,¡Por fin! Un equipo que entiende de procesos industriales.,positivo,0.8892,pysentimiento
229,El software es lento al cargar los reportes de ventas anuales.,neutro,0.0,vader
230,"El despliegue fue normal, siguiendo los pasos del manual.",neutro,0.0,vader
231,"Me siento estafado con la promesa de ""implementación rápida"".",negativo,-0.9569,pysentimiento
232,"Excelente atención al cliente, siempre dispuestos a ayudar.",positivo,0.9189,pysentimiento
233,La parametrización de los almacenes quedó a medio hacer.,neutro,0.0,pysentimiento
234,"El sistema funciona, aunque la curva de aprendizaje es eterna.",neutro,0.0,vader
235,El ROI se nota desde la primera semana de uso. 💰,neutro,0.0,vader
236,Tardaron una eternidad en configurar el módulo de compras.,negativo,-0.9354,pysentimiento
237,Se instalaron los módulos solicitados en el contrato original.,neutro,0.0,pysentimiento
238,"El servicio fue mediocre, esperaba más profesionalismo.",negativo,-0.9433,pysentimiento
239,La comunicación con el gestor del proyecto fue excelente.,positivo,0.9665,pysentimiento
240,"El ERP es robusto, pero requiere un servidor más potente.",neutro,0.0,pysentimiento
241,"No recomiendo a esta empresa, no tienen ni idea de contabilidad.",negativo,-0.5267,vader
242,"La capacitación fue muy básica, tuvimos que aprender solos.",negativo,-0.9432,pysentimiento
243,Súper contentos con la automatización de los correos de venta.,positivo,0.9266,pysentimiento
244,El despliegue fue caótico y afectó nuestra operación diaria.,negativo,-0.9711,pysentimiento
245,El sistema es estable y no hemos tenido caídas.,positivo,0.5664,pysentimiento
246,Un servicio mediocre que solo busca cobrar la licencia.,neutro,0.0,vader
247,La configuración de impuestos es correcta y cumple la ley.,neutro,0.0,pysentimiento
248,¡Brillante! La solución que implementaron nos ahorra horas de trabajo.,positivo,0.504,pysentimiento
249,"El consultor fue amable, pero no resolvió mis dudas técnicas.",negativo,-0.5986,pysentimiento
250,El proceso de implementación fue lineal y predecible.,negativo,-0.845,pysentimiento
251,"El módulo de CRM es una pesadilla, nada es intuitivo.",negativo,-0.9744,pysentimiento
252,"La herramienta es útil, aunque el soporte es algo lento.",positivo,0.6119,pysentimiento
253,Muy profesionales en el análisis de requerimientos iniciales.,positivo,0.5757,pysentimiento
254,La migración de datos dejó muchos errores de formato.,negativo,-0.8583,pysentimiento
255,"El ERP hace lo que debe hacer, sin más.",negativo,-0.5377,pysentimiento
256,Siento que el sistema es demasiado complejo para mi equipo.,neutro,0.0,vader
257,"Excelente despliegue, cero errores en el pase a producción.",positivo,0.9113,pysentimiento
258,La configuración de la nómina es un desastre total. ❌,negativo,-0.9638,pysentimiento
259,Tuvimos una reunión de seguimiento cada viernes.,neutro,0.0,pysentimiento
260,"El servicio post-venta es excepcional, siempre están ahí.",positivo,0.9349,pysentimiento
261,"Odoo es genial, pero la implementación de ustedes fue lenta.",negativo,-0.8899,pysentimiento
262,El software está operativo en todas las sedes.,neutro,0.0,pysentimiento
263,Me encanta la flexibilidad que tiene el sistema ahora.,neutro,0.0,vader
264,Hubo malentendidos constantes sobre el alcance del proyecto.,neutro,0.0,vader
265,El servicio fue aceptable considerando el precio.,neutro,0.0,vader
266,No pudieron integrar el ERP con nuestro software de logística.,negativo,-0.9229,pysentimiento
267,La capacitación fue dinámica y muy bien estructurada.,positivo,0.9632,pysentimiento
268,El sistema se bloquea al intentar importar masivamente clientes.,neutro,0.0,vader
269,El proceso de instalación fue estándar y sin sobresaltos.,positivo,0.8479,pysentimiento
270,¡Impresionante! La visibilidad del negocio es total ahora.,positivo,0.8225,pysentimiento
271,El consultor no sabía manejar las excepciones del flujo de caja.,neutro,0.0,pysentimiento
272,"El ERP es funcional, aunque la estética es mejorable.",neutro,0.0,pysentimiento
273,Un trabajo mediocre que nos dejó con más dudas que respuestas.,negativo,-0.9766,pysentimiento
274,"La implementación fue rápida, quizás demasiado rápida.",neutro,0.0,pysentimiento
275,Súper agradecido por la paciencia del equipo técnico.,positivo,0.967,pysentimiento
276,El módulo de manufactura es confuso y mal configurado.,negativo,-0.9708,pysentimiento
277,El sistema responde bien bajo carga de usuarios.,neutro,0.0,vader
278,Siento que el proyecto se alargó más de lo necesario.,negativo,-0.9116,pysentimiento
279,La configuración de los dashboards es una maravilla. 📊,positivo,0.8026,pysentimiento
280,El soporte técnico es muy burocrático y lento.,negativo,-0.9769,pysentimiento
281,Recibimos el acceso al sistema el viernes a última hora.,neutro,0.0,pysentimiento
282,"El servicio fue top, recomendados al 100%.",positivo,0.2023,vader
283,No entienden la diferencia entre un pedido y una orden de venta.,negativo,-0.296,vader
284,"La herramienta es potente, pero la configuración fue básica.",neutro,0.0,pysentimiento
285,Logramos optimizar la cadena de suministro gracias a Odoo.,neutro,0.0,vader
286,El sistema tiene bugs que hacen imposible el cierre mensual.,neutro,0.0,vader
287,La implementación fue satisfactoria en general.,positivo,0.9461,pysentimiento
288,El equipo de trabajo fue muy coordinado y puntual.,neutro,0.0,vader
289,Me parece que el software es inestable en la versión nube.,negativo,-0.9472,pysentimiento
290,Tuvimos que contratar a otro consultor para arreglar el desastre.,neutro,0.0,vader
291,"El servicio de implementación fue neutro, cumplieron lo pactado.",neutro,0.0,pysentimiento
292,El módulo de ventas es la mejor parte de la implementación.,positivo,0.9111,pysentimiento
293,Demasiada resistencia al cambio por culpa de una mala capacitación.,negativo,-0.9522,pysentimiento
294,El software funciona correctamente en tablets y móviles.,neutro,0.0,pysentimiento
295,"Un servicio deficiente, no respondieron a los tickets críticos.",negativo,-0.955,pysentimiento
296,La transición al nuevo sistema fue fluida y sin dramas.,positivo,0.9117,pysentimiento
297,El costo final excedió el presupuesto por falta de planificación.,negativo,-0.9352,pysentimiento
298,El ERP es intuitivo y el personal lo adoptó rápidamente.,neutro,0.0,pysentimiento
299,La configuración de los almacenes es un caos total.,negativo,-0.9664,pysentimiento
300,El servicio fue adecuado para las necesidades de la empresa.,neutro,0.0,vader
301,El consultor demostró mucha experiencia en el sector retail.,positivo,0.7143,pysentimiento
302,Tardaron demasiado en responder a los cambios solicitados.,neutro,0.0,vader
303,El despliegue se realizó sin afectar la operación del negocio.,neutro,0.0,pysentimiento
304,Siento que la implementación fue superficial y apresurada.,negativo,-0.9495,pysentimiento
305,"El sistema vuela, la optimización de la base de datos fue genial. ⚡",positivo,0.8957,pysentimiento
306,La documentación entregada es insuficiente y confusa.,negativo,-0.9676,pysentimiento
307,Odoo es una gran elección y el servicio fue el esperado.,positivo,0.9709,pysentimiento
308,"Odoo es increíble, pero la implementación de esta empresa fue un horror.",negativo,-0.9721,pysentimiento
309,El sistema ya está en producción.,neutro,0.0,pysentimiento
310,¡Gracias por hacer que mi vida sea un infierno con tantos bugs! 🙄,negativo,-0.9661,pysentimiento
311,La migración a Odoo.sh fue rápida y sin errores.,positivo,0.7647,pysentimiento
312,"El servicio fue aceptable, aunque el consultor hablaba demasiado.",neutro,0.0,vader
313,"No pude configurar la API, el soporte no me ayudó.",negativo,-0.9273,pysentimiento
314,La interfaz es limpia y el flujo de trabajo es lógico.,neutro,0.0,pysentimiento
315,"Sinceramente, me da igual el ERP mientras funcione la facturación.",negativo,-0.5426,pysentimiento
316,El despliegue on-premise quedó optimizado al máximo. ⚡,neutro,0.0,pysentimiento
317,"Una pérdida de tiempo total, no saben configurar la localización fiscal.",negativo,-0.972,pysentimiento
318,El módulo de compras es funcional.,neutro,0.0,pysentimiento
319,"Me encanta el soporte, pero odio los precios de las horas extra.",neutro,0.0,vader
320,"La capacitación fue un sueño, muy didáctica.",positivo,0.9578,pysentimiento
321,El sistema se cae cada vez que hacemos un cierre de caja.,neutro,0.0,vader
322,Se instalaron los módulos de ventas y CRM.,neutro,0.0,pysentimiento
323,"Un servicio mediocre, el consultor no sabía usar Odoo.",negativo,-0.9756,pysentimiento
324,"El ROI es evidente, hemos reducido costos operativos.",neutro,0.0,vader
325,"El software es robusto, pero la configuración fue muy básica.",neutro,0.0,pysentimiento
326,"No recomiendo este servicio, prometieron oro y dieron bronce.",negativo,-0.296,vader
327,"El despliegue fue normal, sin sorpresas.",negativo,-0.5574,vader
328,La integración con Shopify es una maravilla.,positivo,0.967,pysentimiento
329,Tardaron 3 días en responder un ticket crítico. ¡Inaceptable!,negativo,-0.9629,pysentimiento
330,El proceso de implementación siguió la metodología Agile.,neutro,0.0,pysentimiento
331,Súper contentos con los dashboards de análisis. 📈,positivo,0.8796,pysentimiento
332,"El sistema es lento, pero los reportes son exactos.",neutro,0.0,vader
333,La consultoría fue profesional y el despliegue fue impecable.,positivo,0.9652,pysentimiento
334,"Me siento frustrado, el sistema no hace lo que acordamos.",negativo,-0.296,vader
335,El módulo de inventarios está operativo.,neutro,0.0,pysentimiento
336,¡Qué alegría haber digitalizado la empresa con ustedes!,positivo,0.9685,pysentimiento
337,"El consultor fue muy amable, aunque no resolvió el problema.",positivo,0.4905,pysentimiento
338,"El software es intuitivo, pero la base de datos está mal indexada.",negativo,-0.8057,pysentimiento
339,"El servicio fue estándar, ni bueno ni malo.",neutro,0.0,pysentimiento
340,"Una implementación desastrosa, tuvimos que empezar de cero.",negativo,-0.942,pysentimiento
341,El flujo de aprobación de gastos funciona perfectamente.,positivo,0.5124,pysentimiento
